m,l0,phi,eps,is_sat
0.459799,0.02,1.1087554,0.31101316,False
0.46231157,0.02,1.1094601,0.31314796,False
0.4648241,0.02,1.1101582,0.31528535,False
0.46733668,0.02,1.1108501,0.31742546,False
0.46984923,0.02,1.1115355,0.31956807,False
0.4723618,0.02,1.1122148,0.32171315,False
0.47487438,0.02,1.1128877,0.32386103,False
0.47738692,0.02,1.1135546,0.3260114,False
0.4798995,0.02,1.1142154,0.32816422,False
0.48241204,0.02,1.1148702,0.3303198,False
0.4849246,0.02,1.1155189,0.33247787,False
0.4874372,0.02,1.116162,0.33463842,False
0.48994973,0.02,1.1167989,0.3368015,False
0.4924623,0.02,1.1174303,0.33896714,False
0.49497488,0.02,1.1180558,0.3411355,False
0.49748743,0.02,1.1186758,0.34330636,False
0.5,0.02,1.2755008,0.103958555,True
0.0,0.020301506,0.004061073,1.4636066e-06,False
0.0025125628,0.020301506,0.19957338,9.1446555e-07,False
0.0050251256,0.020301506,0.27698863,9.215553e-07,False
0.007537688,0.020301506,0.33332825,9.281375e-07,False
0.010050251,0.020301506,0.37856886,9.3706683e-07,False
0.012562814,0.020301506,0.41666663,9.4732025e-07,False
0.015075376,0.020301506,0.44968796,9.57552e-07,False
0.01758794,0.020301506,0.47886625,9.765209e-07,False
0.020100502,0.020301506,0.50502795,1.2720411e-05,False
0.022613065,0.020301506,0.5283603,0.0010301372,False
0.025125628,0.020301506,0.5496572,0.0020441383,False
0.027638191,0.020301506,0.5692348,0.0030656462,False
0.030150753,0.020301506,0.5873394,0.004101217,False
0.032663316,0.020301506,0.6041671,0.005154926,False
0.03517588,0.020301506,0.619877,0.0062287133,False
0.03768844,0.020301506,0.6345995,0.007323862,False
0.040201005,0.020301506,0.6484439,0.008440908,False
0.042713568,0.020301506,0.66150177,0.009580189,False
0.04522613,0.020301506,0.67385125,0.010741079,False
0.047738694,0.020301506,0.6855596,0.011923708,False
0.050251257,0.020301506,0.6966847,0.013128074,False
0.05276382,0.020301506,0.707277,0.014350861,False
0.055276383,0.020301506,0.71738094,0.015595108,False
0.057788946,0.020301506,0.72703546,0.016856944,False
0.060301505,0.020301506,0.73627543,0.018138265,False
0.06281407,0.020301506,0.7451315,0.019437823,False
0.06532663,0.020301506,0.75363106,0.020754889,False
0.0678392,0.020301506,0.7617991,0.022088477,False
0.07035176,0.020301506,0.769658,0.023439102,False
0.072864324,0.020301506,0.77722734,0.024804508,False
0.07537688,0.020301506,0.7845259,0.026185751,False
0.07788945,0.020301506,0.7915704,0.027581627,False
0.08040201,0.020301506,0.79837567,0.028991949,False
0.08291457,0.020301506,0.804956,0.030416122,False
0.085427135,0.020301506,0.81132376,0.031853646,False
0.087939695,0.020301506,0.8174909,0.03330421,False
0.09045226,0.020301506,0.8234683,0.034769814,False
0.09296482,0.020301506,0.82926536,0.03624299,False
0.09547739,0.020301506,0.8348919,0.037730504,False
0.09798995,0.020301506,0.8403564,0.039231136,False
0.10050251,0.020301506,0.84566665,0.040739883,False
0.10301507,0.020301506,0.85082996,0.042261012,False
0.10552764,0.020301506,0.8558534,0.043792963,False
0.1080402,0.020301506,0.8607433,0.045335297,False
0.110552765,0.020301506,0.8655063,0.046893742,False
0.113065325,0.020301506,0.87014633,0.048449997,False
0.11557789,0.020301506,0.8746703,0.05002171,False
0.11809045,0.020301506,0.87908256,0.051602814,False
0.12060301,0.020301506,0.8833877,0.053192947,False
0.12311558,0.020301506,0.8875902,0.05479227,False
0.12562814,0.020301506,0.8916943,0.05640031,False
0.1281407,0.020301506,0.89570355,0.058016635,False
0.13065326,0.020301506,0.8996219,0.059641376,False
0.13316582,0.020301506,0.9034526,0.061274216,False
0.1356784,0.020301506,0.90719914,0.062914975,False
0.13819095,0.020301506,0.91086435,0.06456374,False
0.14070351,0.020301506,0.9144515,0.06621968,False
0.14321607,0.020301506,0.917963,0.06788337,False
0.14572865,0.020301506,0.92140186,0.06955432,False
0.1482412,0.020301506,0.9247702,0.07123242,False
0.15075377,0.020301506,0.9280712,0.07292029,False
0.15326633,0.020301506,0.9313057,0.07460964,False
0.1557789,0.020301506,0.9344771,0.07630852,False
0.15829146,0.020301506,0.9375871,0.07801375,False
0.16080402,0.020301506,0.94063765,0.07972579,False
0.16331658,0.020301506,0.94363064,0.081444025,False
0.16582914,0.020301506,0.9465678,0.083168656,False
0.16834171,0.020301506,0.94945085,0.08489951,False
0.17085427,0.020301506,0.9522815,0.08663639,False
0.17336683,0.020301506,0.95506126,0.088378966,False
0.17587939,0.020301506,0.9577917,0.09012775,False
0.17839196,0.020301506,0.9604742,0.091882005,False
0.18090452,0.020301506,0.9631101,0.09364218,False
0.18341708,0.020301506,0.9657008,0.09540774,False
0.18592964,0.020301506,0.9682475,0.097178854,False
0.18844222,0.020301506,0.9707515,0.09895543,False
0.19095477,0.020301506,0.97321373,0.10073732,False
0.19346733,0.020301506,0.97563565,0.10252452,False
0.1959799,0.020301506,0.97801816,0.10431681,False
0.19849247,0.020301506,0.9803623,0.10611414,False
0.20100503,0.020301506,0.9826692,0.1079167,False
0.20351759,0.020301506,0.9849395,0.10972401,False
0.20603015,0.020301506,0.9871744,0.11153639,False
0.2085427,0.020301506,0.9893747,0.11335342,False
0.21105528,0.020301506,0.9915413,0.11517552,False
0.21356784,0.020301506,0.9936751,0.117001966,False
0.2160804,0.020301506,0.9957768,0.11883323,False
0.21859296,0.020301506,0.9978471,0.120669104,False
0.22110553,0.020301506,0.99988693,0.12250934,False
0.22361809,0.020301506,1.0018967,0.124354236,False
0.22613065,0.020301506,1.0038775,0.12620349,False
0.22864321,0.020301506,1.0058297,0.12805714,False
0.23115578,0.020301506,1.0077543,0.12991494,False
0.23366834,0.020301506,1.0096514,0.13177727,False
0.2361809,0.020301506,1.0115222,0.1336434,False
0.23869346,0.020301506,1.0133667,0.13551402,False
